start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
0,21,1.05,"[1170, 70, 117]",3,16,19.657902573276257,4.576491222541475,5.410702211601672,3.764539283754178,1.4372813786142409,
54,137,4.15,"[1174, 70, 129]",16,702,99.96899206667554,18.65685424949238,19.26289330887313,12.766449593550044,1.5088684733933595,
176,190,0.7,"[1163, 76, 135]",16,895,115.86121876126725,19.48528137423857,0.9340435992834436,0.8345222721724236,,
191,199,0.4,"[1163, 76, 135]",2,5,17.38284683411905,1.4142135623730951,0.11213998067802992,0.05863197291052272,,
200,209,0.45,"[1163, 76, 135]",15,529,105.29742697611968,18.48528137423857,0.42255070642691445,0.7546252852734013,,
219,220,0.05,"[1163, 76, 135]",2,2,6.63284688441047,1.4142135623730951,0.0,0.0,,
221,316,4.75,"[1163, 76, 135]",15,321,94.54742702641111,18.48528137423857,21.411132406860073,12.81145741135735,1.6712487673634315,
325,332,0.35,"[1163, 76, 135]",2,14,19.06193790133015,1.0,1.2795590357094742,1.2548896423901337,1.0196586157746539,
368,381,0.65,"[1162, 77, 135]",2,9,20.53138753764188,1.4142135623730951,1.7152279548789455,1.2093069404486685,1.4183561654269294,
410,411,0.05,"[1159, 75, 133]",5,6,23.86632661757523,5.23606797749979,0.0,0.0,,
420,444,1.2,"[1159, 75, 133]",5,6,23.86632661757523,5.23606797749979,5.451489680683275,3.6649729366054027,1.4874570085454961,
471,472,0.05,"[1158, 75, 133]",2,2,3.5637918745545254,1.0,0.0,0.0,,
472,474,0.1,"[1158, 75, 133]",3,13,22.095179412196405,2.0,0.1274000141731634,0.19696042999145189,,
481,484,0.15,"[1158, 75, 133]",2,2,3.5637918745545254,1.0,0.32436029414042167,0.4319004935859192,,
518,530,0.6,"[1154, 70, 125]",2,2,9.127583749109052,2.23606797749979,2.49468210502631,2.0159927066031487,1.2374459971284966,
532,601,3.45,"[1154, 70, 125]",11,239,83.91658108442613,16.640986324787455,14.449282136240088,7.790671209114128,1.854690276151842,
610,688,3.9,"[1154, 70, 125]",3,10,18.18173164536074,4.16227766016838,5.163174302790059,3.080740543566388,1.6759523334649153,
689,816,6.35,"[1138, 70, 124]",22,713,124.17249176326546,29.877054302287245,32.88203473909699,17.30719183617494,1.899905833964815,
851,891,2.0,"[1134, 75, 133]",12,598,100.36409093481731,17.22677276241436,7.215741581136278,5.450671075017099,1.3238262742012261,
901,959,2.9,"[1134, 75, 133]",5,192,56.7794379273342,9.39834563766817,12.931845507901802,6.6605175661780045,1.9415676603826546,
966,974,0.4,"[1134, 75, 133]",2,6,19.06193790133015,1.0,1.3041548957481774,1.2560971299743855,1.038259593646848,
1039,1272,11.65,"[1154, 70, 125]",20,1509,154.30918617227016,32.88362701190674,44.65387978940819,23.02863161969316,1.9390591906130445,
1274,1524,12.5,"[1134, 75, 101]",28,6756,228.52787558053228,45.45354552482872,56.76187963386407,30.12825323521573,1.884008315739903,
1525,1551,1.3,"[1134, 75, 101]",4,54,39.47979479681179,3.414213562373095,3.949148472412252,2.6383151107406904,1.4968448826810357,
1610,1613,0.15,,2,3,9.321001598166195,1.4142135623730951,0.24950790434167758,0.3322311295907428,,
1620,1768,7.4,"[1154, 70, 93]",24,1540,148.31615712497572,34.622395894616595,39.470441212621616,23.14781027272222,1.705147949097123,
1809,1833,1.2,"[1154, 70, 125]",31,3735,186.56855110919898,39.28854535919441,2.374602160780369,2.267724557845294,1.0471298873425026,
1841,1842,0.05,"[1154, 70, 125]",2,2,3.5637918745545254,1.0,0.12740001240969434,0.06956041485531728,,
1843,1903,3.0,"[1154, 70, 125]",28,2649,164.0581205259709,36.28854535919441,14.261394161054085,13.162091459278798,1.0835203664384445,
1937,2009,3.6,"[1154, 70, 125]",15,888,111.70742929107509,22.04590467207512,16.10118646942775,11.324312157580001,1.42182467644627,
2018,2052,1.7,"[1154, 70, 125]",5,19,41.567162142674334,7.39834563766817,7.049775484109359,3.850331613035427,1.8309528094261043,
2061,2067,0.3,"[1154, 70, 125]",3,3,7.127583749109051,2.0,1.081977982887188,1.227759701911284,0.8812620101497435,
2091,2092,0.05,,2,2,3.5637918745545254,1.0,0.0,0.0,,
