start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
0,13,0.65,"[1128, 67, 125]",2,29,20.53138753764188,1.4142135623730951,1.715227993217551,1.209306984074045,1.4183561459631238,
20,21,0.05,"[1127, 68, 126]",2,72,34.3119376289183,1.0,0.0,0.0,,
30,53,1.15,"[1127, 68, 126]",2,72,34.3119376289183,1.0,0.0,0.0,,
63,64,0.05,"[1128, 67, 126]",2,16,19.06193790133015,1.0,0.0,0.0,,
66,73,0.35,"[1128, 67, 126]",2,12,18.53138753764188,1.0,0.2791025509015026,0.23724157518184516,,
76,87,0.55,"[1128, 68, 125]",2,16,19.06193790133015,1.0,1.3676881979620439,1.2616895648274398,1.0840132438989472,
115,116,0.05,"[1128, 69, 125]",2,2,9.127583749109052,2.23606797749979,0.0,0.0,,
125,182,2.85,"[1128, 69, 125]",2,2,9.127583749109052,2.23606797749979,7.241526899875607,2.2869578550353777,3.1664452774813316,
214,244,1.5,"[1127, 69, 123]",3,53,40.54884980666773,3.0,4.108251875553716,1.9388714880677433,2.1188881784258697,
245,263,0.9,"[1127, 69, 123]",3,5,14.829485643375465,3.0,4.075252320989529,2.0959466418721497,1.94434926900115,
311,316,0.25,"[1128, 68, 124]",3,4,7.127583749109051,2.0,0.814978368414482,0.9545782998031249,,
316,323,0.35,"[1127, 70, 122]",2,11,19.06193790133015,1.0,1.4715166451204267,1.270149868934178,1.1585378081054496,
336,337,0.05,"[1127, 71, 122]",2,4,19.06193790133015,1.0,0.0,0.0,,
346,353,0.35,"[1127, 71, 122]",2,4,19.06193790133015,1.0,1.252203340253729,1.1767592750642422,1.064111723432448,
381,382,0.05,"[1125, 71, 123]",3,6,21.95051755758819,4.576491222541475,0.0,0.0,,
384,389,0.25,"[1125, 71, 123]",5,18,37.13202038639617,7.47213595499958,0.8149783640912911,0.9545782947394028,,
390,392,0.1,"[1125, 71, 123]",5,18,37.13202038639617,7.47213595499958,0.2625366412272129,0.3505164112025125,,
398,430,1.6,"[1125, 71, 123]",4,8,23.957069392484517,5.23606797749979,6.213672641327818,2.4723104723420604,2.5133059584711073,
432,452,1.0,"[1125, 71, 123]",4,165,62.786554901749525,5.576491222541475,0.058830291005540186,0.029516096631828352,,
452,464,0.6,"[1125, 71, 123]",3,43,38.1238758026603,2.0,0.8721188731531928,1.0083726720367805,0.8648775371823862,
475,492,0.85,"[1125, 71, 123]",4,76,49.78655496880475,5.576491222541475,0.0,0.0,,
494,497,0.15,"[1125, 71, 123]",3,44,38.2238758026603,2.0,1.0013359791121417,0.7461092740512356,,
507,536,1.45,"[1125, 71, 123]",4,26,36.78655503585998,5.576491222541475,6.5723440971635005,4.687200250692114,1.402189739214369,
583,584,0.05,"[1124, 72, 125]",3,5,20.946638708673575,2.414213562373095,0.0,0.0,,
588,593,0.25,"[1124, 72, 125]",3,7,22.01569371852952,2.414213562373095,1.2267664818213013,1.3258686195270988,0.9252549338250841,
598,622,1.2,"[1125, 74, 122]",4,12,19.324222508074048,4.650281539872885,4.884955854533078,2.3035470662767206,2.1206234185736657,
628,645,0.85,"[1125, 74, 122]",2,3,11.26569376882094,2.0,3.9015656375511423,2.596117327202152,1.5028464224904188,
