start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
3,18,0.75,"[1130, 68, 96]",3,28,25.69478478574062,2.414213562373095,3.251358494718083,2.111301007742201,1.5399786590331073,
32,45,0.65,"[1131, 68, 97]",2,3,13.174950993911652,2.23606797749979,2.914768478426687,2.3248423750019134,1.2537488604681375,
106,129,1.15,"[1129, 64, 96]",4,11,18.242307795043388,3.0,1.9268083943154466,1.6252334535128583,1.1855579210179004,
146,149,0.15,"[1131, 64, 96]",2,2,3.5637918745545254,1.0,0.32436044339999004,0.4319008504128906,,
153,166,0.65,"[1131, 64, 96]",2,2,6.63284688441047,1.4142135623730951,2.045057852582545,1.305579456062461,1.566398615638684,
174,197,1.15,"[1131, 64, 96]",4,189,50.31107390338836,3.414213562373095,1.0642890110136536,1.0480557141665563,1.0154889636377837,
219,223,0.2,"[1132, 68, 96]",2,16,18.53138753764188,1.0,0.0,0.029399942169061943,,
229,252,1.15,"[1132, 68, 96]",4,194,46.326172323382494,3.8284271247461903,5.066336203677611,3.430704416625389,1.4767626669105791,
275,285,0.5,"[1131, 70, 96]",3,302,58.56631207569359,2.0,0.9408187485279504,0.7846352726668913,,
286,289,0.15,"[1131, 70, 96]",3,44,33.706338531553534,3.6502815398728847,0.2772296872526202,0.34348260381377804,,
289,302,0.65,"[1131, 70, 96]",3,5,16.73874286846618,3.23606797749979,2.8242196069292484,2.1631919416076006,1.305579755826197,
308,385,3.85,"[1131, 70, 96]",9,324,54.08178092334003,10.071067811865476,12.15919989570682,4.916984197950473,2.472897899646513,
394,396,0.1,"[1131, 70, 96]",2,2,3.5637918745545254,1.0,0.12740001056240735,0.1969604244089646,,
418,440,1.1,"[1131, 69, 97]",3,13,23.446638486553148,2.0,0.2997428162767134,0.36536654059974827,,
449,456,0.35,"[1131, 69, 97]",3,3,7.127583749109051,2.0,0.9689846585053866,0.9971127660727077,,
470,473,0.15,"[1132, 64, 99]",2,2,3.5637918745545254,1.0,0.15613389693141683,0.2091788215534779,,
475,545,3.5,"[1132, 64, 99]",9,145,57.186845734396485,10.06449510224598,11.759320448216858,4.933559429353621,2.383536798655231,
561,562,0.05,"[1130, 64, 99]",2,6,13.320346770905534,1.0,0.0,0.0,,
569,571,0.1,"[1130, 64, 99]",2,2,9.321001598166195,1.4142135623730951,0.24950785951329507,0.23423124665274286,,
571,588,0.85,"[1130, 64, 99]",2,6,13.320346770905534,1.0,0.40332625697341157,0.2734186036555105,,
590,594,0.2,"[1130, 64, 99]",2,2,3.5637918745545254,1.0,0.329680899446284,0.3976835258501604,,
622,623,0.05,"[1136, 64, 101]",7,35,34.06296537654023,7.650281539872885,0.0,0.0,,
632,666,1.7,"[1136, 64, 101]",7,35,34.06296537654023,7.650281539872885,8.575052221241314,4.7977409691096575,1.7873103772070948,
684,720,1.8,"[1136, 64, 103]",4,23,29.258576660295144,3.414213562373095,4.197176224620235,2.5416174676478813,1.6513799885489757,
727,760,1.65,"[1136, 64, 103]",6,248,55.96248672458189,5.0,4.097264617101757,3.1065024861045316,1.3189317038788577,
778,815,1.85,"[1136, 64, 105]",10,2677,120.99273641158845,9.414213562373096,5.305574408542278,2.9186238010113232,1.8178342843308068,
815,817,0.1,"[1136, 64, 105]",2,5,9.321001598166195,1.4142135623730951,0.2524888552217433,0.38920278880693365,,
838,841,0.15,"[1136, 64, 105]",2,2,6.63284688441047,1.4142135623730951,0.7652495112877022,1.008639838360874,0.7586945133272727,
874,878,0.2,"[1139, 64, 108]",2,2,6.63284688441047,1.4142135623730951,0.48511666447010304,0.44340905729908847,,
880,882,0.1,"[1139, 64, 108]",3,83,40.39788008378113,2.0,0.07161937412977447,0.039104182816915564,,
883,889,0.3,"[1139, 64, 108]",5,691,85.49849978619912,4.414213562373095,0.8961873171328745,0.7830389193346458,,
894,950,2.8,"[1139, 64, 108]",4,201,57.2964547581099,5.16227766016838,4.944153288975718,4.175669339283657,1.1840385067041481,
951,979,1.4,"[1139, 64, 108]",7,591,78.22134881017863,7.656854249492381,3.8891934527702205,3.598440423875215,1.0807997339530466,
979,988,0.45,"[1139, 64, 108]",2,12,16.257846748204546,1.4142135623730951,0.0,0.0,,
989,1003,0.7,"[1139, 64, 108]",4,178,51.57763139773924,3.8284271247461903,1.4980837218462182,1.1032638921659288,1.3578652691199553,
1007,1026,0.95,"[1139, 64, 108]",3,51,35.3197846495347,2.414213562373095,2.2366167161453028,1.3203820475929033,1.6939163329452436,
1027,1036,0.45,"[1141, 67, 107]",2,8,19.06193790133015,1.0,0.05900249992001696,0.05900249992001695,,
1047,1060,0.65,"[1141, 67, 107]",5,270,62.38956948207428,4.82842712474619,1.5044066805074578,0.5800000131130219,,
1060,1069,0.45,"[1141, 67, 107]",2,2,12.132846839706989,1.4142135623730951,0.7685942755703816,1.01276443584235,0.7589072526338428,
1078,1108,1.5,"[1141, 67, 107]",4,38,32.32763167015109,3.8284271247461903,5.211193206826409,3.5080354414407,1.4855018695838051,
1123,1124,0.05,"[1141, 67, 105]",2,10,18.53138753764188,1.0,0.0,0.0,,
1133,1143,0.5,"[1141, 67, 105]",2,10,18.53138753764188,1.0,0.6209583187991079,0.7094831592845846,,
1171,1199,1.4,"[1139, 68, 105]",5,93,40.04902789477307,5.242640687119286,5.952002581015082,,,True
