start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
3,276,13.65,"[1138, 70, 124]",19,847,116.89567172174672,23.371630891611247,40.18546490683215,14.663302705771256,2.740546636264677,
278,367,4.45,"[1134, 75, 133]",9,509,89.67271531115374,14.22677276241436,18.497104835847598,10.147120846122451,1.8228919430791986,
374,382,0.4,"[1134, 75, 133]",2,6,19.06193790133015,1.0,1.3041549083680222,1.2560971317372653,1.038259602236564,
413,419,0.3,"[1133, 75, 133]",2,8,18.53138753764188,1.0,0.1092169482834266,0.1448924042599351,,
454,456,0.1,"[1138, 70, 124]",2,2,3.5637918745545254,1.0,0.127400009065665,0.19696042209515918,,
457,478,1.05,"[1138, 70, 124]",13,255,88.77150941894011,18.404918347287666,1.0357575316146581,0.8295340650960935,,
488,553,3.25,"[1138, 70, 124]",11,87,68.09299384490323,16.404918347287666,18.51127195245006,9.204319185146899,2.011150589206194,
578,584,0.3,"[1154, 70, 125]",3,3,7.127583749109051,2.0,1.0270511482012536,1.1015646683146227,0.9323566538972481,
584,586,0.1,"[1154, 70, 125]",2,2,3.5637918745545254,1.0,0.2330925907953706,0.1611698852235451,,
587,734,7.35,"[1154, 70, 125]",15,1814,145.82838956250487,22.72134935173836,29.7739288815464,15.46789514064809,1.9248856170031485,
771,832,3.05,"[1158, 75, 133]",8,144,66.7212535125624,12.877054302287245,14.64687335259152,10.092669853635703,1.451238727215004,
859,860,0.05,"[1159, 75, 133]",2,9,18.53138753764188,1.0,0.0,0.0,,
860,872,0.6,"[1159, 75, 133]",2,20,29.283156037846794,1.0,0.7852263835784008,0.7852262753280587,,
872,884,0.6,"[1159, 75, 133]",3,15,22.095179412196405,2.0,1.2348404285026895,1.072693185218618,1.1511590131441225,
912,915,0.15,"[1162, 77, 135]",2,3,9.321001598166195,1.4142135623730951,0.2495077993512411,0.33223111176826836,,
922,954,1.6,"[1162, 77, 135]",5,173,59.36087285831408,4.414213562373095,3.0983444852174604,1.5886943190303335,1.9502458390538895,
956,970,0.7,"[1163, 76, 135]",6,102,51.440308305655876,7.576491222541475,1.972419401747868,0.9810145632040369,,
972,984,0.6,"[1163, 76, 135]",2,23,29.283156037846794,1.0,0.592794363496528,0.44924009818724525,,
985,997,0.6,"[1163, 76, 135]",6,105,53.99625315959402,7.16227766016838,0.09800000300540218,0.15150801086152102,,
1007,1033,1.3,"[1163, 76, 135]",6,69,44.37125329579994,7.16227766016838,6.731182094867436,3.8011584390547473,1.770823869299516,
1042,1048,0.3,"[1163, 76, 135]",2,14,19.06193790133015,1.0,1.2491870787446828,1.252203340253729,0.9975912366529585,
1076,1087,0.55,"[1174, 70, 129]",2,8,20.53138753764188,1.4142135623730951,1.5565369100517803,1.1443471953132622,1.3601963778359085,
1089,1202,5.65,"[1174, 70, 129]",16,1149,123.41500542262736,20.72134935173836,21.28851691839021,13.296173107089489,1.6011010647145698,
1203,1206,0.15,"[1174, 70, 129]",2,2,9.321001598166195,1.4142135623730951,0.5544878906246945,0.4987504071840422,,
1211,1215,0.2,"[1174, 70, 129]",2,2,9.321001598166195,1.4142135623730951,0.704348053782836,0.5738335790744904,,
1221,1222,0.05,"[1174, 70, 129]",2,2,9.321001598166195,1.4142135623730951,0.09800000227980878,0.09491926622968774,,
1257,1342,4.25,"[1170, 70, 117]",15,191,93.71704547836529,17.65685424949238,19.19115466896245,13.607722360232998,1.4103135088239596,
1378,1380,0.1,"[1154, 70, 93]",2,2,3.5637918745545254,1.0,0.12740000999565973,0.1969604235329349,,
1382,1536,7.7,"[1154, 70, 93]",27,813,146.5795515900325,35.106125662588596,37.30829400965919,28.428406442281208,1.3123596669200226,
1576,1804,11.4,"[1134, 75, 101]",29,6087,166.5033795650771,36.13556291411145,33.852668871123434,16.99161426792508,1.9923162294842591,
1805,1851,2.3,"[1134, 75, 101]",13,1106,96.685537046123,18.071067811865476,10.164350143189125,4.785266621801295,2.12409275104571,
1885,1931,2.3,"[1134, 75, 101]",8,258,60.39371887496161,10.242640687119286,11.362898057925598,5.220974102508818,2.1763942580112436,
1938,1946,0.4,"[1134, 75, 101]",2,8,19.06193790133015,1.0,1.3041552637890772,1.2560971813859,1.038259844154855,
1984,1990,0.3,"[1133, 75, 101]",2,9,18.53138753764188,1.0,0.10921694499679685,0.14489212156305922,,
2031,2287,12.8,"[1161, 77, 135]",57,11636,272.61036366457284,62.61427157873053,65.51250839278279,42.03842751411549,1.5583957884910247,
