start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
5,16,0.55,"[1134, 75, 101]",7,156,73.80653570748309,8.99070478491457,1.7769418112941575,1.593403941682386,1.115186027102446,
26,31,0.25,"[1134, 75, 101]",6,88,62.19751793986059,7.576491222541475,1.0819783003765078,1.1003602723502814,0.9832945877494185,
41,48,0.35,"[1134, 75, 101]",4,49,48.50087922559908,5.576491222541475,0.09800000298646604,0.151508010832174,,
58,79,1.05,"[1134, 75, 101]",4,38,43.00087927030256,5.576491222541475,5.768532537007914,3.726330064266233,1.5480465867276358,
95,101,0.3,"[1134, 75, 101]",2,8,19.06193790133015,1.0,1.2491870787446828,1.252203340253729,0.9975912366529585,
136,137,0.05,"[1133, 75, 101]",2,9,18.53138753764188,1.0,0.008887318336537822,0.0048524763753864395,,
163,165,0.1,,2,2,3.5637918745545254,1.0,0.12740001173208115,0.1969604262175051,,
173,318,7.25,"[1154, 70, 93]",24,1308,144.46220772923024,33.8005414794899,38.409859923138626,22.796298564590966,1.6849165145959217,
349,350,0.05,"[1154, 70, 125]",2,2,3.5637918745545254,1.0,0.0,0.09800000162889827,,
360,383,1.15,"[1154, 70, 125]",31,3727,186.56855110919898,39.28854535919441,2.135206920355441,2.0566256321400465,1.0382088441315525,
393,529,6.8,"[1154, 70, 125]",29,2722,167.62191240052542,37.28854535919441,31.548521859762957,24.734883769870613,1.2754667518669316,
536,568,1.6,"[1154, 70, 125]",5,19,41.567162142674334,7.39834563766817,6.730076504166042,3.644311751650923,1.8467345723420137,
577,583,0.3,"[1154, 70, 125]",3,3,7.127583749109051,2.0,1.0819779524570479,1.2277596473931474,0.8812620244967068,
607,611,0.2,"[1158, 75, 133]",2,2,5.039962802470046,1.4142135623730951,0.5956179593114415,0.6988482968144878,,
617,718,5.05,"[1158, 75, 133]",12,899,106.71497357799021,18.36505818199175,21.653230842873207,11.347723843781536,1.9081563087860134,
745,746,0.05,"[1159, 75, 133]",2,9,18.53138753764188,1.0,0.0,0.0,,
748,760,0.6,"[1159, 75, 133]",2,9,18.53138753764188,1.0,0.6885216545772758,0.7973327457293123,,
