start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
0,13,0.65,"[1128, 67, 126]",2,37,20.53138753764188,1.4142135623730951,1.715227993217551,1.209306984074045,1.4183561459631238,
23,24,0.05,"[1127, 68, 126]",2,76,34.3119376289183,1.0,0.0,0.0,,
34,56,1.1,"[1127, 68, 126]",2,76,34.3119376289183,1.0,0.0,0.0,,
63,66,0.15,"[1128, 67, 125]",2,16,19.06193790133015,1.0,0.7531999805212024,1.0013359791121417,0.7521950636279394,
76,89,0.65,"[1128, 67, 125]",3,4,12.88479347272072,2.414213562373095,1.7935132765389272,1.8237932261348133,0.9833972683076256,
92,100,0.4,"[1129, 67, 125]",2,26,19.06193790133015,1.0,1.3836360705329447,1.262076922586703,1.0963167504062263,
142,164,1.1,"[1130, 68, 126]",3,88,44.693325349565065,2.0,0.5755156109573633,0.5755155902588313,,
170,175,0.25,"[1130, 67, 125]",2,19,19.06193790133015,1.0,0.09772327958567814,0.10921686785368366,,
180,185,0.25,"[1130, 67, 125]",2,13,19.06193790133015,1.0,1.0312860354991076,1.1681755953431918,0.8828176513960915,
215,219,0.2,"[1132, 67, 126]",3,37,29.852389135808075,2.8284271247461903,0.4302314125973119,0.5289063959068067,,
219,221,0.1,"[1132, 67, 126]",2,16,18.53138753764188,1.0,0.15255153045438885,0.08329314530287091,,
227,230,0.15,"[1132, 67, 126]",3,48,29.852389135808075,2.8284271247461903,0.2495080164672564,0.3413565056683603,,
235,250,0.75,"[1132, 67, 126]",2,36,20.53138753764188,1.4142135623730951,1.811450880302941,1.2537115822540328,1.4448704996775699,
269,276,0.35,"[1132, 68, 128]",2,14,18.53138753764188,1.0,0.0,0.029400003651586813,,
276,325,2.45,"[1132, 68, 128]",5,131,52.57811891169275,4.82842712474619,8.677067483253488,2.5917743763482295,3.3479254839610473,
355,408,2.65,"[1131, 68, 129]",2,4,13.174950993911652,2.23606797749979,2.940047079864425,2.0638314429364035,1.424557751519353,
493,497,0.2,"[1133, 65, 128]",2,2,3.5637918745545254,1.0,0.15958579460477584,0.22896617823234014,,
518,522,0.2,"[1133, 68, 128]",2,2,3.5637918745545254,1.0,0.19283297729078733,0.23027045163880144,,
523,561,1.9,"[1133, 68, 128]",3,47,27.16423442205235,2.8284271247461903,3.9074575710521646,2.2501431427562193,1.736537332583156,
594,596,0.1,"[1133, 68, 129]",3,26,27.852389135808075,2.414213562373095,0.09800000240218425,0.15150800992886462,,
596,599,0.15,"[1133, 68, 129]",3,6,16.73874286846618,3.23606797749979,0.3285922556785247,0.36130937827358545,,
599,612,0.65,"[1133, 68, 129]",4,7,20.302534743020704,4.23606797749979,2.896055041672112,2.106052408781619,1.375110623836527,
616,631,0.75,"[1133, 64, 128]",3,13,14.678515920488863,2.0,1.0245539508370425,0.8462971490434129,,
646,650,0.2,"[1133, 65, 125]",2,2,6.63284688441047,1.4142135623730951,1.0350665121477212,1.2134442090765738,0.8529988477471104,
668,686,0.9,"[1133, 65, 125]",3,30,22.49595259207785,3.6502815398728847,4.120294136914667,3.4762187353056473,1.1852804586396053,
688,712,1.2,"[1133, 65, 125]",4,27,32.32763167015109,3.8284271247461903,4.969557819241793,3.322189840076233,1.49586810461372,
721,722,0.05,"[1133, 67, 125]",2,24,19.06193790133015,1.0,0.0,0.0,,
