start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
1,13,0.6,"[1128, 67, 126]",2,37,20.53138753764188,1.4142135623730951,1.715227993217551,1.209306984074045,1.4183561459631238,
25,33,0.4,"[1127, 68, 126]",2,13,18.53138753764188,1.0,0.44281569425362055,0.42486290181989156,,
33,43,0.5,"[1127, 68, 126]",3,28,22.625729775884675,2.0,1.658629614414765,1.3320823481073742,1.2451404500415082,
95,96,0.05,"[1128, 69, 125]",2,3,16.257846748204546,1.4142135623730951,0.0,0.0,,
100,118,0.9,"[1128, 69, 125]",2,3,16.257846748204546,1.4142135623730951,0.0,0.0,,
138,139,0.05,"[1128, 70, 126]",3,46,35.3197846495347,2.414213562373095,0.0,0.0,,
139,148,0.45,"[1128, 70, 126]",3,20,27.852389135808075,2.414213562373095,1.5228025047794718,1.6060451949363046,0.948169148402991,
151,199,2.4,"[1128, 70, 126]",4,117,41.952631533945166,3.8284271247461903,6.251364760449142,2.2144267125894785,2.823017228300592,
199,207,0.4,"[1129, 70, 126]",2,2,6.63284688441047,1.4142135623730951,1.4828298958692343,1.2151972094403811,1.220238068644103,
246,247,0.05,"[1128, 71, 126]",2,9,19.06193790133015,1.0,0.0,0.0,,
247,249,0.1,"[1128, 71, 126]",2,2,3.5637918745545254,1.0,0.12739882495953725,0.1969585914669527,,
256,267,0.55,"[1128, 71, 126]",2,9,19.06193790133015,1.0,1.3676881962458882,1.2616895645667798,1.0840132427626954,
329,330,0.05,"[1129, 71, 128]",3,4,15.89198881833508,2.8284271247461903,0.0,0.0,,
330,340,0.5,"[1129, 71, 128]",2,2,9.25914193392461,1.4142135623730951,1.1954810367676405,1.1962907000916096,0.9993231884826095,
341,353,0.6,"[1129, 71, 128]",2,2,9.25914193392461,1.4142135623730951,1.4505867649613535,1.1928432020438,1.2160749732034684,
381,405,1.2,"[1129, 70, 128]",4,6,19.51764035713119,3.8284271247461903,4.391815399084566,1.6719974579051595,2.6266878447214013,
428,431,0.15,"[1130, 69, 128]",2,2,3.5637918745545254,1.0,0.32436029329328,0.4319004929142653,,
463,470,0.35,"[1131, 70, 127]",3,3,7.127583749109051,2.0,0.8435317724288767,0.8086292410969552,,
503,504,0.05,"[1131, 71, 128]",2,3,6.63284688441047,1.4142135623730951,0.0,0.0,,
513,522,0.45,"[1131, 71, 128]",2,3,6.63284688441047,1.4142135623730951,1.6480834195657448,1.1716044387473246,1.4066892929561363,
541,542,0.05,"[1131, 69, 127]",3,4,12.88479347272072,2.414213562373095,0.0,0.0,,
551,561,0.5,"[1131, 69, 127]",3,4,12.88479347272072,2.414213562373095,1.8221447961092745,1.4133076680149739,1.2892768059969013,
575,581,0.3,"[1131, 69, 128]",2,2,6.63284688441047,1.4142135623730951,1.3636276645717755,1.3729229346906415,0.9932295761954326,
585,596,0.55,"[1131, 69, 128]",4,5,16.448585347275245,3.414213562373095,1.9583054891729534,1.2933171245531887,1.5141727052052318,
600,605,0.25,"[1131, 70, 126]",2,2,3.5637918745545254,1.0,0.6277631237093031,0.6595919681272197,,
616,641,1.25,"[1131, 71, 126]",5,11,20.39327751792999,4.82842712474619,5.076145874240643,2.399097721051862,2.115856236158256,
648,662,0.7,"[1131, 71, 126]",2,4,13.174950993911652,2.23606797749979,3.0482200232626138,2.2865209708499226,1.333125767103531,
663,670,0.35,"[1131, 71, 126]",2,7,19.06193790133015,1.0,1.2491870787446828,1.252203340253729,0.9975912366529585,
724,731,0.35,"[1130, 71, 126]",2,2,6.63284688441047,1.4142135623730951,1.4828317012556202,1.215199425596016,1.220237328970378,
742,748,0.3,"[1129, 72, 127]",2,6,18.53138753764188,1.0,0.12498118748444653,0.14467969527883084,,
748,752,0.2,"[1129, 72, 127]",3,4,10.196638758964996,2.414213562373095,0.5988336078057538,0.7091632287924564,,
767,768,0.05,"[1129, 72, 124]",2,2,6.63284688441047,1.4142135623730951,0.0,0.0,,
777,784,0.35,"[1129, 72, 124]",2,2,6.63284688441047,1.4142135623730951,1.4822365115798746,1.3643576670206692,1.0863987848704042,
795,796,0.05,"[1127, 72, 125]",3,14,22.095179412196405,2.0,0.0,0.0,,
805,816,0.55,"[1127, 72, 125]",2,10,18.53138753764188,1.0,0.8106852392548733,0.7971332689979639,,
846,847,0.05,"[1129, 72, 123]",4,33,34.09606246648002,5.576491222541475,0.0,0.0,,
848,849,0.05,"[1129, 72, 123]",5,232,59.89928793670114,7.82842712474619,0.12739399642875887,0.06955713012942308,,
850,851,0.05,"[1129, 72, 123]",5,232,59.89928793670114,7.82842712474619,0.16537219389074428,0.0902932283521053,,
852,853,0.05,"[1129, 72, 123]",5,180,55.077928284430186,7.47213595499958,0.08341490770944363,0.04554454489947371,,
854,855,0.05,"[1129, 72, 123]",5,180,55.077928284430186,7.47213595499958,0.15168256901216925,0.0828186923003061,,
856,857,0.05,"[1129, 72, 123]",5,66,42.1538551653541,8.22677276241436,0.08433794149767317,0.046048521406425624,,
858,898,2.0,"[1129, 72, 123]",5,72,42.1538551653541,8.22677276241436,9.632763930201214,6.46927856701486,1.489001258860011,
900,966,3.3,"[1127, 68, 124]",3,38,28.189521650439204,3.23606797749979,8.729442484989976,2.7109008421593552,3.2201260736768886,
1023,1040,0.85,"[1128, 68, 124]",4,104,47.25941383424876,4.0,4.0248934329521475,2.4804306654203128,1.6226591168474056,
1040,1058,0.9,"[1128, 68, 124]",2,3,14.617939770806212,3.1622776601683795,4.5821617273595265,3.398022844397138,1.348478788162024,
1067,1076,0.45,"[1128, 64, 125]",3,201,52.92987739972452,4.16227766016838,0.0,0.0,,
1076,1091,0.75,"[1129, 66, 123]",4,37,18.242307795043388,3.0,1.9600313277589414,1.5384988163593565,1.2739894934707088,
1102,1129,1.35,,4,29,24.814578529771207,5.576491222541475,6.813349840191448,3.1294542265317857,2.1771687160103745,
1131,1156,1.25,"[1130, 64, 125]",4,103,44.85672268707077,3.414213562373095,4.565838923971207,2.647418615811784,1.724638066946271,
1161,1182,1.05,"[1130, 64, 125]",5,155,49.35103705231039,4.82842712474619,3.5680921315095304,2.569218589907499,1.388784958012465,
1194,1195,0.05,"[1130, 67, 126]",3,42,25.69478478574062,2.414213562373095,0.0,0.0,,
1200,1210,0.5,"[1130, 67, 126]",2,2,9.127583749109052,2.23606797749979,2.119578667314787,1.7506784716340467,1.2107184166927105,
1211,1270,2.95,"[1130, 67, 126]",3,39,24.101900703800197,2.414213562373095,3.510792058638801,1.7921239354619383,1.9590118680792343,
1299,1300,0.05,"[1130, 67, 125]",2,30,29.283156037846794,1.0,0.0,0.0,,
1300,1304,0.2,"[1130, 67, 125]",4,6,19.40092720310629,4.242640687119286,0.5592991458176405,0.6875760974316448,,
