start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
2,177,8.75,"[1133, 75, 133]",21,2636,153.27019300163718,30.37548109576481,38.011676276377216,11.344239584337084,3.350746957853366,
242,248,0.3,"[1138, 70, 124]",2,7,18.53138753764188,1.0,0.1092169370304952,0.1448924497322118,,
249,316,3.35,"[1138, 70, 124]",12,191,80.252045461871,16.89292222699217,18.00101656872394,10.632838552313455,1.6929643462711417,
345,348,0.15,"[1154, 70, 125]",3,3,7.127583749109051,2.0,0.3243604472989925,0.4319008556045966,,
355,506,7.55,"[1154, 70, 125]",15,1671,145.82838956250487,22.72134935173836,30.33165529008118,15.840822778152143,1.9147777684827691,
535,559,1.2,"[1158, 75, 133]",3,15,27.852389135808075,2.414213562373095,1.9538782260403853,1.6721783082720236,1.1684628465605809,
563,640,3.85,"[1158, 75, 133]",10,229,76.91789227152738,15.29126786466034,17.822996444110675,10.964197694863667,1.625563214028885,
667,668,0.05,"[1159, 75, 133]",2,9,18.53138753764188,1.0,0.0,0.0,,
677,689,0.6,"[1159, 75, 133]",2,9,18.53138753764188,1.0,0.6885216319013803,0.7973327399759671,,
727,747,1.0,"[1162, 77, 135]",5,172,59.36087285831408,4.414213562373095,1.269037067609698,1.0715931695348262,1.1842526657393508,
757,784,1.35,"[1163, 76, 135]",6,100,51.440308305655876,7.576491222541475,4.8044231111213485,1.5057207770287468,3.190779581724284,
784,785,0.05,"[1163, 76, 135]",2,22,29.283156037846794,1.0,0.054072473344962485,0.029523573875580664,,
794,817,1.15,"[1163, 76, 135]",5,62,40.807461421245414,6.16227766016838,5.803275078722097,3.868278320647568,1.50022170011557,
826,832,0.3,"[1163, 76, 135]",2,14,19.06193790133015,1.0,1.2491870787446828,1.252203340253729,0.9975912366529585,
860,871,0.55,"[1174, 70, 129]",2,9,20.53138753764188,1.4142135623730951,1.556536787470199,1.14434707834826,1.3601964097438775,
873,986,5.65,"[1174, 70, 129]",16,1146,123.41500542262736,20.72134935173836,21.18790886967377,13.23169275274431,1.6012999444292044,
986,987,0.05,"[1174, 70, 129]",2,4,9.321001598166195,1.4142135623730951,0.06956041574591112,0.037979991408729895,,
995,1003,0.4,"[1174, 70, 129]",2,3,9.321001598166195,1.4142135623730951,1.0663775508108744,1.0170706388287605,1.0484793387005005,
1006,1010,0.2,"[1174, 70, 129]",2,2,9.321001598166195,1.4142135623730951,0.4397261270961569,0.5291242902124955,,
1038,1039,0.05,"[1170, 70, 117]",3,3,7.127583749109051,2.0,0.0,0.09999998930172597,,
1040,1042,0.1,"[1170, 70, 117]",2,2,3.5637918745545254,1.0,0.20927162075777384,0.2698230734483782,,
1044,1046,0.1,"[1170, 70, 117]",2,2,3.5637918745545254,1.0,0.16622880263918838,0.21806746396862606,,
1048,1131,4.15,"[1170, 70, 117]",14,148,90.15325360381077,16.65685424949238,18.619959552597447,13.125787879879253,1.4185784291958812,
1171,1322,7.55,"[1154, 70, 93]",27,813,146.5795515900325,35.106125662588596,37.19389254102168,28.53476393096877,1.303458918777147,
1364,1592,11.4,"[1134, 75, 101]",29,6087,166.5033795650771,36.13556291411145,33.85112931060835,16.98840363977951,1.9926021319238976,
1593,1684,4.55,"[1134, 75, 101]",13,1106,96.685537046123,18.071067811865476,21.262517103034835,9.836692893585608,2.161551380433954,
1691,1699,0.4,"[1134, 75, 101]",2,8,19.06193790133015,1.0,1.304155262457198,1.2560971811998665,1.0382598432482946,
1780,1928,7.4,"[1161, 77, 135]",57,12495,273.62892960135594,63.02191243148413,37.00153959841581,23.838121736335893,1.5522002952948775,
1962,2072,5.5,"[1161, 77, 135]",25,185,105.25118192099173,27.30056307974577,28.952330205925996,18.345680890892847,1.5781551188050205,
2104,2118,0.7,,2,24,29.283156037846794,1.0,0.7082538463052785,0.7082537949305606,,
