start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
1,38,1.85,"[1118, 70, 129]",11,181,55.07125465273718,11.242640687119286,7.359714927830247,5.263194841391991,1.3983360201583903,
47,58,0.55,"[1118, 70, 129]",5,7,17.324222508074048,4.414213562373095,3.1188637080476664,2.9609400340422507,1.0533356542820016,
81,85,0.2,"[1122, 70, 117]",3,4,13.26569376882094,2.8284271247461903,1.0350665256015845,1.213444234626529,0.8529988408739317,
95,182,4.35,"[1122, 70, 117]",17,821,106.59839892356122,18.48528137423857,19.347426075474306,10.25102219363305,1.8873655436519363,
219,227,0.4,"[1138, 70, 124]",6,56,51.051123075668315,6.650281539872885,1.3278761956370957,1.0244856476198518,1.2961393834282593,
229,231,0.1,"[1138, 70, 124]",5,15,30.51301424642265,5.23606797749979,0.13183037032257114,0.1969594706380669,,
232,267,1.75,"[1138, 70, 124]",5,15,30.51301424642265,5.23606797749979,5.061471932932098,3.2120598063905126,1.5757713859692497,
267,273,0.3,"[1138, 70, 124]",2,2,3.5637918745545254,1.0,0.816829272993475,0.7920971993695988,,
274,278,0.2,"[1138, 70, 124]",5,29,34.979972884917125,4.414213562373095,0.797478622976409,0.8176229671508188,,
278,296,0.9,"[1138, 70, 124]",3,6,18.18173164536074,4.16227766016838,4.665647480130996,3.3213002767256077,1.4047653302611798,
298,390,4.6,"[1138, 70, 124]",19,528,100.59635788863388,21.071067811865476,22.026153243479587,13.651902063517467,1.6134127787468513,
432,441,0.45,"[1134, 75, 133]",5,26,29.15768258715602,5.656854249492381,1.6311548237654931,1.0960015738459286,1.4882778115378823,
442,477,1.75,"[1134, 75, 133]",5,13,26.088627577300073,5.242640687119286,6.182531107907558,3.0631009738683663,2.018389586452218,
477,508,1.55,"[1134, 75, 133]",10,92,65.40361238025575,13.22677276241436,5.798372793979927,4.371078769651278,1.3265312980032429,
514,520,0.3,"[1134, 75, 133]",4,24,35.45180616777614,6.812559200041265,0.45604904553813097,0.7706027814194399,,
531,533,0.1,"[1134, 75, 133]",2,2,6.63284688441047,1.4142135623730951,0.4527130710479846,0.7716029270731644,,
542,552,0.5,"[1134, 75, 133]",2,2,9.321001598166195,1.4142135623730951,1.8879607425253346,1.6896623861290452,1.1173597506958675,
556,587,1.55,"[1134, 75, 133]",4,23,28.4518062571831,6.812559200041265,7.918694109583047,4.907511908629658,1.6135863258239576,
619,645,1.3,"[1133, 75, 133]",3,28,36.42992819087329,4.414213562373095,5.534691588684018,3.175095003350897,1.7431577898749093,
675,684,0.45,"[1154, 70, 125]",2,3,6.63284688441047,1.4142135623730951,1.6294378993478056,1.1016913652354727,1.4790330130249625,
686,743,2.85,"[1154, 70, 125]",19,2077,154.15439880504388,28.80983669457533,15.317675954230339,7.553798705443216,2.027810979817681,
744,920,8.8,"[1154, 70, 125]",13,913,112.59816560412355,19.99070478491457,19.037737778819658,2.4309295419741037,7.831464240366068,
921,952,1.55,"[1154, 70, 125]",11,546,97.76867996074809,16.99070478491457,3.9473435817774516,2.1521113849766396,1.8341725290488617,
952,961,0.45,"[1154, 70, 125]",2,2,6.63284688441047,1.4142135623730951,1.7671779690516687,1.2397574677115508,1.425422322572233,
963,1033,3.5,"[1154, 70, 125]",11,391,82.82398785714857,16.404918347287666,16.45466010665578,8.596829746231233,1.9140381503855353,
1042,1049,0.35,"[1154, 70, 125]",4,5,17.26043058881604,3.0,1.3551062942324528,1.5041957594514355,0.9008842670362572,
1072,1085,0.65,"[1158, 75, 133]",4,23,42.979794752108305,3.0,0.17239610725478982,0.2419560138818119,,
1085,1108,1.15,"[1158, 75, 133]",6,42,49.29553325967656,5.414213562373095,3.3252017139354524,2.9728226315187496,1.1185335037081172,
1109,1115,0.3,"[1158, 75, 133]",2,4,9.321001598166195,1.4142135623730951,0.7681266973664655,0.6313656676923637,,
1119,1138,0.95,"[1158, 75, 133]",5,7,18.800393435989566,4.82842712474619,4.402357189149512,3.567622996709603,1.2339748883808013,
1139,1188,2.45,"[1158, 75, 133]",8,63,60.62691127431959,11.640986324787455,11.595999705391502,8.589059327861058,1.3500896038494667,
