start_tick,end_tick,seconds,target,node_count,nodes_considered,predicted_ticks,path_geometry,travel,endpoint_distance,travel_to_endpoint_ratio,unfinished
5,18,0.65,"[1128, 67, 126]",2,37,20.53138753764188,1.4142135623730951,1.7152277685238095,1.2093066829853483,1.4183563132964105,
39,60,1.05,"[1127, 68, 126]",2,76,34.3119376289183,1.0,0.0,0.0,,
64,66,0.1,"[1128, 67, 125]",2,16,19.06193790133015,1.0,0.7531999805212024,0.5813359922251635,,
84,90,0.3,"[1128, 68, 125]",2,13,18.53138753764188,1.0,0.10921690651126048,0.14489122341405533,,
94,104,0.5,"[1128, 68, 125]",2,16,19.06193790133015,1.0,1.3610316088114245,1.258040409990892,1.08186636772763,
131,132,0.05,"[1128, 69, 125]",2,2,9.127583749109052,2.23606797749979,0.0,0.0,,
142,198,2.8,"[1128, 69, 125]",2,2,9.127583749109052,2.23606797749979,7.2382509558907815,2.164832258975294,3.3435620362184317,
253,257,0.2,"[1128, 69, 123]",2,2,3.5637918745545254,1.0,0.5593008316676659,0.8147470376227886,,
259,263,0.2,"[1128, 69, 123]",2,2,3.5637918745545254,1.0,0.6409940283616186,0.6285677492822891,,
297,298,0.05,"[1128, 70, 122]",3,8,24.265693701765713,2.414213562373095,0.0,0.0,,
307,323,0.8,"[1128, 70, 122]",3,8,24.265693701765713,2.414213562373095,0.5614169250469887,0.6262485702242045,,
332,344,0.6,"[1128, 70, 122]",3,4,10.196638758964996,2.414213562373095,1.974138652732933,1.286362229391779,1.5346677690205117,
384,391,0.35,"[1127, 70, 122]",2,2,3.5637918745545254,1.0,0.9307021390411797,1.0052396698027275,0.9258509855901574,
405,411,0.3,"[1127, 71, 122]",6,50,39.07431512315992,5.414213562373095,1.1169188982452931,0.9820929355259206,,
411,431,1.0,"[1127, 71, 122]",4,6,16.448585347275245,3.414213562373095,3.6118500085139806,2.025315573738243,1.7833517182941414,
432,449,0.85,"[1127, 71, 122]",4,90,38.2238758026603,3.0,2.9903322524659157,2.2644785003273653,1.320539034498944,
468,469,0.05,"[1125, 71, 123]",3,5,21.95051755758819,4.576491222541475,0.0,0.0,,
470,491,1.05,"[1125, 71, 123]",3,56,48.34509393917695,2.0,2.165234103847264,0.940280508976633,,
492,503,0.55,"[1125, 71, 123]",2,18,29.283156037846794,1.0,0.7191359362215067,0.6202007718859947,,
504,515,0.55,"[1125, 71, 123]",2,14,29.283156037846794,1.0,1.0673063722009566,1.0727478686767289,0.99492751592927,
550,551,0.05,"[1124, 72, 124]",2,6,18.53138753764188,1.0,0.0,0.0,,
551,556,0.25,"[1124, 72, 124]",3,9,25.16423442205235,2.414213562373095,0.0,0.029400002855989937,,
560,564,0.2,"[1124, 72, 124]",2,2,3.5637918745545254,1.0,0.559300785393446,0.6875782021348589,,
568,572,0.2,"[1125, 72, 125]",2,2,3.5637918745545254,1.0,0.34723745420326063,0.4443874134931398,,
578,580,0.1,"[1125, 72, 125]",2,2,3.5637918745545254,1.0,0.12740001359897202,0.19696042910363815,,
596,598,0.1,"[1124, 72, 125]",3,11,22.01569371852952,2.414213562373095,0.16345374070053062,0.19119720628016026,,
598,611,0.65,"[1127, 72, 125]",2,7,15.38284683411905,1.0,0.4214885919529452,0.3676197444599032,,
620,622,0.1,"[1127, 72, 125]",2,2,3.5637918745545254,1.0,0.1273970164714843,0.19695579554432335,,
640,641,0.05,"[1128, 72, 125]",3,6,18.448585347275248,3.6502815398728847,0.0,0.0,,
641,653,0.6,"[1128, 72, 125]",2,2,9.127583749109052,2.23606797749979,2.4988188728673872,2.0242845327707313,1.234420770605375,
655,658,0.15,"[1128, 72, 125]",3,17,24.56072555259809,2.414213562373095,0.3387824622263428,0.3039083008985691,,
659,660,0.05,"[1128, 72, 125]",3,88,43.901095808653004,4.16227766016838,0.08083083339801184,0.04413364016154109,,
661,662,0.05,"[1128, 72, 125]",4,160,52.095328770408365,5.576491222541475,0.10337571564607974,0.056443147298786946,,
663,712,2.45,"[1128, 72, 125]",4,123,48.1818810035727,7.738768882709854,9.131426256222051,7.005664869454556,1.3034346384503834,
