time,session,world,kind,dimension,x,y,z,chunk_x,chunk_z,biome,health,food,state,runtime_seconds,note
"2026-09-13 00:43:05","20260913-004253","sp:New World","SESSION","overworld",0,-60,0,0,0,"plains",20.0,20,"Idle",0,"Stopped: terrain fixture"
"2026-09-13 00:43:05","20260913-004305","sp:New World","SESSION","overworld",0,1,0,0,0,"plains",20.0,20,"Running",0,"Movement started"
"2026-09-13 00:44:23","20260913-004411","sp:New World","SESSION","overworld",0,-60,0,0,0,"plains",20.0,20,"Idle",0,"Stopped: terrain fixture"
"2026-09-13 00:44:23","20260913-004423","sp:New World","SESSION","overworld",0,1,0,0,0,"plains",20.0,20,"Running",0,"Movement started"
"2026-09-13 00:44:49","20260913-004423","sp:New World","SESSION","overworld",7,1,2,0,0,"plains",20.0,20,"Idle",25,"Stopped: Builder test cleanup"
"2026-09-13 00:45:54","20260913-004542","sp:New World","SESSION","overworld",0,-60,0,0,0,"plains",20.0,20,"Idle",0,"Stopped: terrain fixture"
"2026-09-13 00:45:54","20260913-004554","sp:New World","SESSION","overworld",0,1,0,0,0,"plains",20.0,20,"Running",0,"Movement started"
"2026-09-13 00:46:25","20260913-004554","sp:New World","SESSION","overworld",7,1,2,0,0,"plains",20.0,20,"Idle",30,"Stopped: Builder test cleanup"
"2026-09-13 00:50:01","20260913-004951","sp:New World","SESSION","overworld",0,-60,0,0,0,"plains",20.0,20,"Idle",0,"Stopped: terrain fixture"
"2026-09-13 00:50:01","20260913-005001","sp:New World","SESSION","overworld",0,1,0,0,0,"plains",20.0,20,"Running",0,"Movement started"
"2026-09-13 00:50:46","20260913-005001","sp:New World","SESSION","overworld",5,1,4,0,0,"plains",20.0,20,"Idle",45,"Stopped: Builder test cleanup"
"2026-09-13 10:43:50","20260913-104337","sp:New World","SESSION","overworld",0,-60,0,0,0,"plains",20.0,20,"Idle",0,"Stopped: terrain fixture"
"2026-09-13 10:46:11","20260913-104559","sp:New World","SESSION","overworld",0,-60,0,0,0,"plains",20.0,20,"Idle",0,"Stopped: terrain fixture"
"2026-09-13 10:48:55","20260913-104843","sp:New World","SESSION","overworld",0,-60,0,0,0,"plains",20.0,20,"Idle",0,"Stopped: terrain fixture"
"2026-09-13 10:52:09","20260913-105157","sp:New World","SESSION","overworld",0,-60,0,0,0,"plains",20.0,20,"Idle",0,"Stopped: terrain fixture"
"2026-09-13 10:52:11","20260913-105209","sp:New World","SESSION","overworld",0,0,0,0,0,"plains",20.0,20,"Running",0,"Movement started"
"2026-09-13 10:52:11","20260913-105209","sp:New World","EXPLORER","overworld",0,0,0,0,0,"plains",20.0,20,"Running",0,"Started XYZ journey"
"2026-09-13 10:52:11","20260913-105209","sp:New World","EXPLORER","overworld",0,0,0,0,0,"plains",20.0,20,"Running",0,"Target 45, 1, 0 (exact feet block)"
"2026-09-13 10:52:16","20260913-105209","sp:New World","EXPLORER","overworld",18,0,0,1,0,"plains",20.0,20,"Working",5,"Rowing across clear water | 19.0 m · 5.0 s · 3.80 m/s · 0 mined · 0 placed · 0 failures"
"2026-09-13 10:52:21","20260913-105209","sp:New World","EXPLORER","overworld",36,1,0,2,0,"plains",20.0,20,"Working",10,"Recovering empty expedition boat | 38.3 m · 10.0 s · 3.83 m/s · 0 mined · 0 placed · 0 failures"
"2026-09-13 10:52:26","20260913-105209","sp:New World","EXPLORER","overworld",36,1,0,2,0,"plains",20.0,20,"Working",15,"Recovering empty expedition boat | 38.3 m · 15.0 s · 2.55 m/s · 0 mined · 0 placed · 0 failures"
"2026-09-13 10:52:31","20260913-105209","sp:New World","EXPLORER","overworld",37,1,0,2,0,"plains",20.0,20,"Working",20,"Explorer: Baritone: Descend | 42.3 m · 20.0 s · 2.11 m/s · 0 mined · 0 placed · 0 failures"
"2026-09-13 10:52:34","20260913-105209","sp:New World","ARRIVED","overworld",45,1,0,2,0,"plains",20.0,20,"Working",23,"Terrain explorer: Reached XYZ 45, 1, 0 | 52.2 m · 23.0 s · 2.27 m/s · 0 mined · 0 placed · 0 failures"
"2026-09-13 10:52:34","20260913-105209","sp:New World","SESSION","overworld",45,1,0,2,0,"plains",20.0,20,"Idle",23,"Stopped: Reached XYZ 45, 1, 0"
"2026-09-13 10:52:34","20260913-105209","sp:New World","SESSION","overworld",45,1,0,2,0,"plains",20.0,20,"Idle",23,"Stopped: Explorer test cleanup"
